timestamp,preference,outbound,return,trip_days,airline,duration,stops,price_aud,source,jetstar_link,alert
2026-06-10T23:20:18Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,685.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-11T23:16:17Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,22h 45m,1,772.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-11T23:16:17Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,673.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-12T23:10:09Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,640.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-12T23:10:09Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,673.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-13T22:57:15Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,738.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-13T22:57:15Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,673.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-14T23:01:24Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,640.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-14T23:01:24Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,673.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-15T23:29:27Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,737.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-15T23:29:27Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,16h 15m,1,743.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-16T23:18:45Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,737.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-16T23:18:45Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,780.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-17T23:18:16Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,745.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-17T23:18:16Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,780.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
